,y_3m,y_6m,y_1y,y_2y,y_3y,y_5y,y_7y,y_10y,y_30y
2000-10-01,-0.4014398670924249,-0.3779850506173593,-0.3207134281311429,-0.16853162080075107,-0.039598315686820575,0.19801393828995784,0.2915387665095964,0.4015558919733983,0.5269665941086104
2000-11-01,-0.4042131139456092,-0.3791932056634322,-0.3186093876667814,-0.1653136517169724,-0.03650724908739634,0.20034198378935006,0.2939150410365484,0.40222134623705125,0.5237804630938802
2000-12-01,-0.4077303152828627,-0.3809243244131972,-0.317279560379224,-0.16197781260234692,-0.03307944111675841,0.20280398866964022,0.2959183563490804,0.40203723821719833,0.5199271065036383
2001-01-01,-0.4127968808819287,-0.38426025650605256,-0.3173822045611103,-0.15882474533132573,-0.029534296777035327,0.20497237388751777,0.29721207486013534,0.4004921862765345,0.51417027281631
2001-02-01,-0.41754761289769216,-0.3870735650292261,-0.3165689326117741,-0.1565004640272271,-0.02737644064710332,0.2058135524447602,0.2970547556433242,0.3990079422424698,0.5104529441466561
2001-03-01,-0.4218479958017246,-0.38899905173340327,-0.3158796032504267,-0.15489529114419107,-0.02587175924856589,0.205841641234968,0.296613195931962,0.3977391003505257,0.5076766905016918
2001-04-01,-0.4250011709992934,-0.38960369802776396,-0.31473372419950213,-0.15394491105251307,-0.02507543558972069,0.20590969013213392,0.29654979211924326,0.3971502186363344,0.506091846422846
2001-05-01,-0.42527274314846264,-0.3884541469107376,-0.3130543561564403,-0.1537162637638225,-0.02529521120204193,0.20584530906936432,0.2969717088655934,0.3980238545224675,0.5069392729092017
2001-06-01,-0.42413800612445796,-0.3867018881169582,-0.3110132544215959,-0.15351259370242204,-0.025878319365718216,0.2056042460110171,0.29775729427553327,0.3999462488416654,0.508639399760412
2001-07-01,-0.42218491293686783,-0.3841122638414961,-0.30867705774166726,-0.1528413297934552,-0.0269662946078019,0.20558413286168112,0.2991567428219876,0.4026803388435243,0.5108203609779124
2001-08-01,-0.4206756205273661,-0.3812347789996332,-0.30614856450718775,-0.15181685289404995,-0.028080185448679948,0.205491979678242,0.3003825975521063,0.40551092119890014,0.5130618895921851
2001-09-01,-0.4217251763738424,-0.3801370048944366,-0.3038616309205323,-0.1506071565284621,-0.028547253038079645,0.20400107411498822,0.2995085065196786,0.40622570453651563,0.5152409867034429
2001-10-01,-0.42209431172312156,-0.37878055020879176,-0.30141111513690383,-0.14928909079578542,-0.029231992395454535,0.20111623392935957,0.29730079779586144,0.4065085173946877,0.5198909557031988
2001-11-01,-0.4224063884455798,-0.37743096000555565,-0.2992480564916966,-0.14853596583176326,-0.030554602072962428,0.19759279599393262,0.2939685787863823,0.4063113721355931,0.5253793180104104
2001-12-01,-0.42311330987746365,-0.3769429681967624,-0.29826161950552155,-0.1492346948102952,-0.032397989206846244,0.19413050007422847,0.29093661935658954,0.4061602237408512,0.5284993976636091
2002-01-01,-0.42390146606043094,-0.3772124389292063,-0.29852540486635326,-0.15027399163102087,-0.03346271670908729,0.19208473201371196,0.2890053645282234,0.40582049769370576,0.529233368487634
2002-02-01,-0.424412578900171,-0.3771034111808079,-0.2980068761236913,-0.15119353820741688,-0.03476989735562347,0.18955159647019434,0.2866515825295823,0.4059163912371139,0.5309645901623098
2002-03-01,-0.4245442008081985,-0.37620133606411943,-0.2963016145281433,-0.15182658945310376,-0.03652627910978292,0.18625626078026195,0.2840604803642377,0.40551002549125476,0.5350088926762101
2002-04-01,-0.42289432444250374,-0.3741468685622765,-0.2940260778082444,-0.15308227562066692,-0.03840001885626008,0.18328322821344611,0.28258718011971073,0.40630161728187575,0.539708413675827
2002-05-01,-0.4222406464409908,-0.3725178077985405,-0.2914662125443781,-0.1535314791907077,-0.0401923780890212,0.17962821302641707,0.2796220171591303,0.4062817002404349,0.5452374130658114
2002-06-01,-0.4216679006899762,-0.37066407436843957,-0.28860423859994033,-0.15373170436900505,-0.04222064677836833,0.17524726076135946,0.2760758224370672,0.4064345847173448,0.5513414234635721
2002-07-01,-0.42203957922675683,-0.3695603355532221,-0.28620215928127307,-0.15302527577862712,-0.04320048380813968,0.1709329418221572,0.2713007674138069,0.4052770091191866,0.5577108821121882
